instance,gringo-duration,gringo-timeout-occured,idlv-duration,idlv-timeout-occured,newground-duration,newground-timeout-occured

instance_004.lp,0.010238885879516602,False,0.006089448928833008,False,0.7776074409484863,False
instance_007.lp,0.011128425598144531,False,0.005608081817626953,False,0.8358619213104248,False
instance_010.lp,0.010585784912109375,False,0.005212068557739258,False,0.9520485401153564,False
instance_013.lp,0.010838747024536133,False,0.005057334899902344,False,1.1351909637451172,False
instance_016.lp,0.010518074035644531,False,0.009917020797729492,False,1.2852740287780762,False
instance_019.lp,0.018387794494628906,False,0.0059185028076171875,False,1.7846629619598389,False
instance_022.lp,0.018421173095703125,False,0.009355783462524414,False,2.085742235183716,False
instance_025.lp,0.018442869186401367,False,0.00937795639038086,False,2.5889945030212402,False
instance_028.lp,0.035021305084228516,False,0.017743349075317383,False,3.3901662826538086,False
instance_031.lp,0.03437638282775879,False,0.017604827880859375,False,4.242321014404297,False
instance_034.lp,0.03491806983947754,False,0.0176084041595459,False,5.294661283493042,False
instance_037.lp,0.06656813621520996,False,0.03477811813354492,False,6.445740699768066,False
instance_040.lp,0.06622004508972168,False,0.03443288803100586,False,8.048436403274536,False
instance_043.lp,0.06723403930664062,False,0.03367948532104492,False,9.804996252059937,False
instance_046.lp,0.06639742851257324,False,0.03375744819641113,False,11.708324909210205,False
instance_049.lp,0.11681771278381348,False,0.03380632400512695,False,13.913519144058228,False
instance_052.lp,0.1175851821899414,False,0.06572365760803223,False,16.4206120967865,False
instance_055.lp,0.1172184944152832,False,0.06573891639709473,False,18.925454139709473,False
instance_058.lp,0.11725044250488281,False,0.06585693359375,False,23.128703832626343,False
instance_061.lp,0.1665487289428711,False,0.06667208671569824,False,25.992039918899536,False
instance_064.lp,0.16665172576904297,False,0.06572198867797852,False,31.043269634246826,False
instance_067.lp,0.2183363437652588,False,0.11749792098999023,False,34.41131353378296,False
instance_070.lp,0.21636247634887695,False,0.1164553165435791,False,38.67166996002197,False
instance_073.lp,0.21689081192016602,False,0.11532926559448242,False,43.4321186542511,False
instance_076.lp,0.2675478458404541,False,0.11574935913085938,False,49.59338045120239,False
instance_079.lp,0.2668571472167969,False,0.1157219409942627,False,55.8540563583374,False
instance_082.lp,0.3173973560333252,False,0.16665077209472656,False,61.997779846191406,False
instance_085.lp,0.31754231452941895,False,0.166611909866333,False,68.93814039230347,False
instance_088.lp,0.36701393127441406,False,0.1662585735321045,False,76.44649767875671,False
instance_091.lp,0.4172966480255127,False,0.16530323028564453,False,85.67433404922485,False
instance_094.lp,0.4176182746887207,False,0.21657991409301758,False,93.23460793495178,False
instance_097.lp,0.46725940704345703,False,0.21598553657531738,False,103.55401420593262,False
instance_100.lp,0.5173425674438477,False,0.2661111354827881,False,118.05027484893799,False
