instance,gringo-duration,gringo-timeout-occured,idlv-duration,idlv-timeout-occured,newground-duration,newground-timeout-occured

instance_004.lp,0.016390562057495117,False,0.017020463943481445,False,0.7838339805603027,False
instance_007.lp,0.02205514907836914,False,0.011080503463745117,False,0.8464593887329102,False
instance_010.lp,0.0205843448638916,False,0.014658927917480469,False,0.9707305431365967,False
instance_013.lp,0.020628690719604492,False,0.015391111373901367,False,1.1536188125610352,False
instance_016.lp,0.020920753479003906,False,0.018909215927124023,False,1.3037097454071045,False
instance_019.lp,0.028182506561279297,False,0.015941858291625977,False,1.818444013595581,False
instance_022.lp,0.03552126884460449,False,0.018670082092285156,False,2.1190595626831055,False
instance_025.lp,0.03594064712524414,False,0.018897056579589844,False,2.655627489089966,False
instance_028.lp,0.06882238388061523,False,0.035903215408325195,False,3.4565038681030273,False
instance_031.lp,0.0680704116821289,False,0.03559613227844238,False,4.309030532836914,False
instance_034.lp,0.06868171691894531,False,0.03477001190185547,False,5.411337375640869,False
instance_037.lp,0.1004018783569336,False,0.06918001174926758,False,6.562568187713623,False
instance_040.lp,0.13263869285583496,False,0.0675809383392334,False,8.215368032455444,False
instance_043.lp,0.13366270065307617,False,0.06694173812866211,False,9.971966743469238,False
instance_046.lp,0.13180947303771973,False,0.09965372085571289,False,11.925485849380493,False
instance_049.lp,0.23288989067077637,False,0.10057735443115234,False,14.17997145652771,False
instance_052.lp,0.23365163803100586,False,0.1331017017364502,False,16.73753046989441,False
instance_055.lp,0.23320531845092773,False,0.1316685676574707,False,19.292778253555298,False
instance_058.lp,0.2833380699157715,False,0.1818242073059082,False,23.545405626296997,False
instance_061.lp,0.38347339630126953,False,0.1824500560760498,False,26.509562492370605,False
instance_064.lp,0.38367700576782227,False,0.1823124885559082,False,31.81188130378723,False
instance_067.lp,0.4864680767059326,False,0.2859218120574951,False,35.079851388931274,False
instance_070.lp,0.48334240913391113,False,0.28315210342407227,False,39.440216302871704,False
instance_073.lp,0.4832620620727539,False,0.2814638614654541,False,44.250264167785645,False
instance_076.lp,0.5848002433776855,False,0.2819488048553467,False,50.51127910614014,False
instance_079.lp,0.6338069438934326,False,0.3313632011413574,False,56.87274932861328,False
instance_082.lp,0.7848162651062012,False,0.38288092613220215,False,63.21691036224365,False
instance_085.lp,0.8348162174224854,False,0.43309998512268066,False,70.3569688796997,False
instance_088.lp,0.8845303058624268,False,0.432661771774292,False,77.91701674461365,False
instance_091.lp,0.9855456352233887,False,0.48224353790283203,False,87.34370160102844,False
instance_094.lp,1.0841753482818604,False,0.5336863994598389,False,95.10668396949768,False
instance_097.lp,1.1847314834594727,False,0.5826478004455566,False,105.47514343261719,False
instance_100.lp,1.3355686664581299,False,0.6830601692199707,False,120.22309923171997,False
